activity_id,date,site_id,characteristic_name,result_value,result_unit,sample_medium,activity_type,latitude,longitude,source_type
nwisia.01.90600001,1906-09-06,USGS-05454500,Nitrate,0.045,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91200002,1912-08-19,USGS-05454500,Nitrate,0.068,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500029,1945-06-01,USGS-05454500,Specific conductance,433.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400005,1954-01-01,USGS-05454500,Specific conductance,671.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400005,1954-01-01,USGS-05454500,pH,8.0,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91300001,1913-06-19,USGS-05454500,Turbidity,190.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.91300001,1913-06-19,USGS-05454500,Nitrate,0.158,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700010,1946-12-11,USGS-05454500,"Temperature, water",2.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600034,1946-09-27,USGS-05454500,"Temperature, water",17.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500006,1944-11-21,USGS-05454500,Specific conductance,511.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600013,1946-03-01,USGS-05454500,"Temperature, water",3.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600013,1946-03-01,USGS-05454500,Specific conductance,346.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300011,1952-11-24,USGS-05454500,Specific conductance,472.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300011,1952-11-24,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500001,1944-10-01,USGS-05454500,Specific conductance,505.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700010,1946-12-11,USGS-05454500,Specific conductance,567.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800015,1948-02-22,USGS-05454500,Specific conductance,242.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800015,1948-02-22,USGS-05454500,pH,7.5,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800015,1948-02-22,USGS-05454500,Nitrate,2.26,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300024,1953-05-01,USGS-05454500,Specific conductance,493.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300024,1953-05-01,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700015,1907-03-10,USGS-05454500,Turbidity,170.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700015,1907-03-10,USGS-05454500,Nitrate,0.904,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94900002,1949-06-04,USGS-05454500,Specific conductance,394.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700004,1946-10-11,USGS-05454500,"Temperature, water",13.0,deg C,Water,Sample-Routine,41.656,-91.536,public observation
